method,h,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,Recovery@200(MAE)_mean,Recovery@200(MAE)_std
DriftRPL,1,0.7107896798541166,,0.9157812725755409,,0.9189995488779809,,0.8178594826703485,
OnlineSGD,1,0.6332133346200431,,0.8283896073645464,,0.8043606583957408,,0.7799124861710297,
PHResetSGD,1,0.6356483637466565,,0.8386508330635178,,0.8095772599491082,,0.8055936710831302,
ReservoirReplay,1,0.7248483750993745,,0.9540341384740308,,0.8435988752787181,,0.9532382914024928,
SlidingWindowSGD,1,0.5485248695542415,,0.7253278180023405,,0.7477730914354404,,0.6979169899745321,
Static,1,1.5513324392549197,,2.212138643472551,,1.8262418252303154,,1.651555322507076,
UniformReplay,1,0.5641577455324962,,0.7379800099925777,,0.7595065032824813,,0.6927775387639704,
