method,h,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,Recovery@200(MAE)_mean,Recovery@200(MAE)_std
DriftRPL,1,0.73705328034081,,0.9405133060779062,,0.9476348286481706,,0.8104051111935113,
OnlineSGD,1,0.6332133346200431,,0.8283896073645464,,0.8043606583957408,,0.7799124861710297,
PHResetSGD,1,0.6356483637466565,,0.8386508330635178,,0.8095772599491082,,0.8055936710831302,
ReservoirReplay,1,0.8755927959089241,,1.2311981304663497,,0.8888282268781247,,1.2352476208774896,
SlidingWindowSGD,1,0.5890965091338333,,0.7614075079289158,,0.7790166220102034,,0.7244982221817191,
Static,1,1.5513324392549197,,2.212138643472551,,1.8262418252303154,,1.651555322507076,
UniformReplay,1,0.6071210363257225,,0.7982786408266904,,0.7951849448609214,,0.7489663524063361,
