method,h,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,Recovery@200(MAE)_mean,Recovery@200(MAE)_std
DriftRPL,1,0.744947868361491,,0.9518807041118021,,0.9692748110923217,,0.8170646991360411,
OnlineSGD,1,0.6332133346200431,,0.8283896073645464,,0.8043606583957408,,0.7799124861710297,
PHResetSGD,1,0.6356483637466565,,0.8386508330635178,,0.8095772599491082,,0.8055936710831302,
ReservoirReplay,1,0.6222261404388674,,0.8344342403814934,,0.7911354042863726,,0.8650885659420455,
SlidingWindowSGD,1,0.5314837875640084,,0.706051272323657,,0.7297239526601806,,0.6550544010511075,
Static,1,1.5513324392549197,,2.212138643472551,,1.8262418252303154,,1.651555322507076,
UniformReplay,1,0.5317315281931806,,0.7160247189436254,,0.726942787239363,,0.7046292163714243,
